version,filename,review_reasons
20260526120000,20260526120000_car_rental_reservation_events.sql,"data effects (INSERT/UPDATE/DELETE); policy missing: car_rental_reservation_events|Public read reservation events"
20260526165000,20260526165000_sensitive_media_controls.sql,"statement classes outside the verifier; data effects (INSERT/UPDATE/DELETE); policy missing: comment_reports|comment_reports_insert_own"
20260526183749,20260526183749_group_chat_pinning_avatar_media_policy.sql,"unrecognized ALTER TABLE actions; policy missing: group_messages|Admins can pin group messages; policy missing: storage|chat_media_select_owner_or_recipient"
20260526184329,20260526184329_lodge_guest_booking_rpc.sql,"statement classes outside the verifier; data effects (INSERT/UPDATE/DELETE); function missing: private"
20260526202236,20260526202236_admin_safety_review_inbox.sql,"policy missing: content_moderation_queue|Admins can read moderation queue; policy missing: content_moderation_queue|Admins can update moderation queue; policy missing: moderation_actions|Admins can read moderation actions"
20260526210000,20260526210000_ar_schema_completion.sql,"index missing: idx_ar_estimates_share_token (on ar_estimates)"
20260526211548,20260526211548_story_sensitive_media_controls.sql,"statement classes outside the verifier; data effects (INSERT/UPDATE/DELETE); policy missing: story_reports|story_reports_insert_own"
20260526221927,20260526221927_group_stars_locked_media.sql,"statement classes outside the verifier; data effects (INSERT/UPDATE/DELETE); policy missing: storage|chat_media_select_owner_or_recipient"
20260527000000,20260527000000_salon_online_tipping.sql,"data effects (INSERT/UPDATE/DELETE); unrecognized ALTER TABLE actions; function missing: salon_public_get_tip_policy"
20260527161700,20260527161700_fix_group_paid_album_storage_policy.sql,"policy missing: storage|chat_media_select_owner_or_recipient; function missing: private"
20260527163358,20260527163358_restore_chat_media_storage_policy.sql,"policy missing: storage|chat_media_select_owner_or_recipient"
20260527164312,20260527164312_fix_zivo_service_photo_storage_recursion.sql,"statement classes outside the verifier; policy missing: storage|zivo_service_photos_insert; policy missing: storage|zivo_service_photos_read"
20260528000000,20260528000000_salon_booking_series.sql,"data effects (INSERT/UPDATE/DELETE); policy missing: salon_booking_series|Owners manage booking series - all; policy missing: salon_booking_series|Clients can read their own series"
20260528000001,20260528000001_creator_type_and_ppv.sql,"data effects (INSERT/UPDATE/DELETE); policy missing: ppv_unlocks|ppv_unlocks_insert_self; policy missing: storage|ppv_media_owner_upload"
20260528000002,20260528000002_direct_message_unlocks.sql,"policy missing: direct_message_unlocks|dm_unlocks_insert_self; dropped policy still live: direct_message_unlocks|dm_unlocks_read_own"
20260528000005,20260528000005_wallet_unlock_rpcs.sql,"data effects (INSERT/UPDATE/DELETE)"
20260528000008,20260528000008_close_paywall_bypass.sql,"data effects (INSERT/UPDATE/DELETE); dropped policy still live: direct_message_locked_payloads|dm_locked_payloads_read; dropped policy still live: direct_message_locked_payloads|dm_locked_payloads_insert"
20260528000009,20260528000009_ppv_free_for_subscribers.sql,"data effects (INSERT/UPDATE/DELETE)"
20260528000010,20260528000010_admin_content_reports.sql,"dropped policy still live: content_reports|content_reports_admin_read; dropped policy still live: content_reports|content_reports_admin_update"
20260528000011,20260528000011_content_reports.sql,"dropped policy still live: content_reports|content_reports_reporter_read; dropped policy still live: content_reports|content_reports_reporter_insert"
20260528000012,20260528000012_job_postings_rls.sql,"policy missing: job_postings|job_postings_read; policy missing: job_postings|job_postings_insert_own; policy missing: job_postings|job_postings_update_own"
20260528000014,20260528000014_job_applications_update_tightening.sql,"policy missing: job_applications|job_applications_update_applicant; policy missing: job_applications|job_applications_update_poster"
20260528000015,20260528000015_voice_rooms_rls.sql,"policy missing: voice_rooms|voice_rooms_read; policy missing: voice_rooms|voice_rooms_insert_own; policy missing: voice_rooms|voice_rooms_update_own"
20260528000016,20260528000016_close_subscriber_paywall_bypass.sql,"data effects (INSERT/UPDATE/DELETE); policy missing: creator_subscriptions|cs_ins_free_tier_only; dropped policy still live: creator_subscriptions|cs_upd"
20260528000017,20260528000017_ppv_scheduling.sql,"dropped policy still live: ppv_posts|ppv_posts_read_published"
20260529000000,20260529000000_salon_two_way_sms.sql,"unrecognized ALTER TABLE actions; function missing: salon_public_confirm_booking; constraint missing: salon_sms_inbound_log|salon_sms_inbound_log_processed_action_check"
20260529120000,20260529120000_autorepair_invoice_tax_and_payment_status.sql,"policy missing: ar_shop_settings|Owners manage their ar_shop_settings; policy missing: ar_shop_settings|Admins manage all ar_shop_settings; table missing: ar_shop_settings"
20260529130001,20260529130001_fix_autorepair_rls_store_profiles.sql,"policy missing: public|merged_all_authenticated; policy missing: public|merged_all_authenticated; policy missing: public|merged_all_public"
20260529140000,20260529140000_create_part_images_bucket.sql,"data effects (INSERT/UPDATE/DELETE); policy missing: storage|part_images_authenticated_write; policy missing: storage|part_images_authenticated_update"
20260529150000,20260529150000_autorepair_sequential_doc_numbers.sql,"data effects (INSERT/UPDATE/DELETE)"
20260529160000,20260529160000_autorepair_parts_catalog_columns.sql,"constraint missing: ar_parts|ar_parts_store_sku_unique"
20260529170001,20260529170001_car_rental_secure_reservation_access.sql,"data effects (INSERT/UPDATE/DELETE); function missing: get_car_rental_reservation_by_code; function missing: get_car_rental_reservation_for_review"
20260529170500,20260529170500_car_rental_pii_column_grants.sql,"unrecognized ALTER TABLE actions"
20260529171000,20260529171000_car_rental_sanitize_reservation_rpc.sql,"dropped function still live: get_car_rental_reservation"
20260530000000,20260530000000_salon_booking_payments.sql,"data effects (INSERT/UPDATE/DELETE); unrecognized ALTER TABLE actions; policy missing: salon_booking_payments|Owners manage booking payments - all"
20260531000000,20260531000000_salon_stylist_self_service.sql,"data effects (INSERT/UPDATE/DELETE); function missing: salon_public_stylist_open_shift; function missing: salon_public_stylist_clock_in"
20260531142721,20260531142721_data_api_grants_recent_public_tables.sql,"grant verification incomplete (registry transport flake)"
20260531183402,20260531183402_legal_policy_data_api_grants.sql,"grant verification incomplete (registry transport flake)"
20260531184042,20260531184042_role_workflow_data_api_grants.sql,"grant verification incomplete (registry transport flake)"
20260531193000,20260531193000_store_payment_methods_owner_policy.sql,"policy missing: store_payment_methods|Store owners and admins can manage store payment methods"
20260531194500,20260531194500_shopping_orders_customer_driver_policy.sql,"unrecognized ALTER TABLE actions; policy missing: shopping_orders|Users can update own shopping orders; policy missing: shopping_orders|Drivers can view assigned shopping orders"
20260531204500,20260531204500_atomic_customer_wallet_withdrawal.sql,"data effects (INSERT/UPDATE/DELETE); function missing: process_customer_wallet_withdrawal"
20260531210000,20260531210000_merchant_payout_requests_server_gate.sql,"statement classes outside the verifier"
20260531211500,20260531211500_ar_payout_records_server_gate.sql,"statement classes outside the verifier; policy missing: ar_payouts|Owners view their ar_payouts"
20260531213000,20260531213000_cafe_tip_payouts_server_gate.sql,"statement classes outside the verifier; policy missing: cafe_tip_payouts|cafe_tip_payouts_owner_read; policy missing: cafe_tip_payout_lines|cafe_tip_payout_lines_owner_read"
20260531214500,20260531214500_salon_commission_payouts_server_gate.sql,"statement classes outside the verifier; policy missing: salon_commission_payouts|Owners read commission payouts"
20260531220000,20260531220000_customer_payout_methods_server_gate.sql,"statement classes outside the verifier; unrecognized ALTER TABLE actions; policy missing: customer_payout_methods|Store owners view their store payout methods"
20260531221500,20260531221500_creator_payout_methods_server_gate.sql,"statement classes outside the verifier; function missing: prevent_direct_creator_payout_profile_writes; trigger missing: trg_prevent_direct_creator_payout_profile_writes"
